-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.184ms        47.62%      14.184ms      23.328us           0 b           0 b           0 b           0 b           608  
                                              aten::sum         2.02%       9.594ms         2.59%      12.327ms      91.993us       3.579ms        12.02%       3.579ms      26.709us           0 b           0 b     529.00 Kb     527.00 Kb           134  
at::native::xpu::ReduceKernel<4, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us       3.535ms        11.87%       3.535ms      26.777us           0 b           0 b           0 b           0 b           132  
                                        adam_fused_step         2.21%      10.522ms         3.69%      17.542ms      47.669us       2.768ms         9.29%       2.768ms       7.520us           0 b           0 b           0 b           0 b           368  
at::AtenIpexTypeXPU::UnrolledElementwiseKernelForMul...         0.00%       0.000us         0.00%       0.000us       0.000us       2.768ms         9.29%       2.768ms       7.520us           0 b           0 b           0 b           0 b           368  
                                            aten::copy_         3.44%      16.335ms         5.89%      28.004ms      27.563us       2.579ms         8.66%       2.579ms       2.538us           0 b           0 b           0 b           0 b          1016  
                                              aten::mul         3.47%      16.477ms         5.70%      27.120ms      52.558us       1.605ms         5.39%       1.605ms       3.110us          32 b          32 b     111.25 Mb     111.25 Mb           516  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.575ms         5.29%       1.575ms       3.076us           0 b           0 b           0 b           0 b           512  
                                              aten::bmm         4.57%      21.729ms         5.58%      26.512ms     122.740us       1.566ms         5.26%       1.566ms       7.250us           0 b           0 b     111.37 Mb           0 b           216  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.505ms         5.05%       1.505ms       3.329us           0 b           0 b           0 b           0 b           452  
                           onednn_mm_out(640, 512, 512)         1.40%       6.655ms         1.61%       7.656ms     159.510us       1.246ms         4.18%       1.246ms      25.963us           0 b           0 b           0 b           0 b            48  
                       aten::native_layer_norm_backward         1.29%       6.126ms         1.86%       8.846ms     138.222us       1.141ms         3.83%       1.141ms      17.825us           0 b           0 b      49.38 Mb           0 b            64  
                           onednn_mm_out(512, 512, 640)         0.75%       3.581ms         0.90%       4.263ms     118.420us     999.520us         3.36%     999.520us      27.764us           0 b           0 b           0 b           0 b            36  
                           onednn_addmm(640, 2048, 512)         0.40%       1.913ms         0.47%       2.222ms     185.141us     909.600us         3.05%     909.600us      75.800us           0 b           0 b           0 b           0 b            12  
                           onednn_addmm(640, 512, 2048)         0.32%       1.519ms         0.39%       1.831ms     152.586us     906.240us         3.04%     906.240us      75.520us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(512, 2048, 640)         0.26%       1.232ms         0.31%       1.458ms     121.484us     886.880us         2.98%     886.880us      73.907us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 2048, 512)         0.37%       1.758ms         0.43%       2.039ms     169.907us     881.920us         2.96%     881.920us      73.493us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(2048, 512, 640)         0.25%       1.171ms         0.29%       1.383ms     115.290us     872.800us         2.93%     872.800us      72.733us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 512, 2048)         0.28%       1.347ms         0.34%       1.611ms     134.226us     866.240us         2.91%     866.240us      72.187us           0 b           0 b           0 b           0 b            12  
                                aten::native_layer_norm         1.19%       5.669ms         1.55%       7.363ms     115.045us     816.800us         2.74%     816.800us      12.763us           0 b           0 b      49.34 Mb           0 b            64  
at::native::xpu::VectorizedLayerNormKernelFunctor<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     816.800us         2.74%     816.800us      12.763us           0 b           0 b           0 b           0 b            64  
                            onednn_addmm(640, 512, 512)         0.65%       3.089ms         0.77%       3.641ms     151.702us     750.720us         2.52%     750.720us      31.280us           0 b           0 b           0 b           0 b            24  
