-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.258ms        47.78%      14.258ms      23.450us           0 b           0 b           0 b           0 b           608  
                                              aten::sum         0.84%       9.616ms         1.08%      12.275ms      91.604us       3.601ms        12.07%       3.601ms      26.876us           0 b           0 b     529.00 Kb     527.00 Kb           134  
at::native::xpu::ReduceKernel<4, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us       3.558ms        11.92%       3.558ms      26.953us           0 b           0 b           0 b           0 b           132  
                                        adam_fused_step         0.89%      10.177ms         1.49%      16.969ms      46.111us       2.757ms         9.24%       2.757ms       7.493us           0 b           0 b           0 b           0 b           368  
at::AtenIpexTypeXPU::UnrolledElementwiseKernelForMul...         0.00%       0.000us         0.00%       0.000us       0.000us       2.757ms         9.24%       2.757ms       7.493us           0 b           0 b           0 b           0 b           368  
                                            aten::copy_         1.40%      15.921ms         2.39%      27.210ms      26.781us       2.573ms         8.62%       2.573ms       2.533us           0 b           0 b           0 b           0 b          1016  
                                              aten::mul         1.34%      15.239ms         2.25%      25.646ms      49.702us       1.584ms         5.31%       1.584ms       3.069us          16 b          16 b     111.25 Mb     111.25 Mb           516  
                                              aten::bmm         1.79%      20.450ms         2.18%      24.915ms     115.349us       1.566ms         5.25%       1.566ms       7.250us           0 b           0 b     111.37 Mb           0 b           216  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.549ms         5.19%       1.549ms       3.025us           0 b           0 b           0 b           0 b           512  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.504ms         5.04%       1.504ms       3.327us           0 b           0 b           0 b           0 b           452  
                           onednn_mm_out(640, 512, 512)         0.81%       9.205ms         0.90%      10.224ms     212.992us       1.255ms         4.20%       1.255ms      26.140us           0 b           0 b           0 b           0 b            48  
                       aten::native_layer_norm_backward         0.52%       5.911ms         0.74%       8.458ms     132.164us       1.153ms         3.86%       1.153ms      18.017us           0 b           0 b      49.38 Mb       2.00 Kb            64  
                           onednn_mm_out(512, 512, 640)         0.32%       3.650ms         0.38%       4.293ms     119.259us     997.600us         3.34%     997.600us      27.711us           0 b           0 b           0 b           0 b            36  
                           onednn_addmm(640, 2048, 512)         0.16%       1.805ms         0.18%       2.091ms     174.262us     913.440us         3.06%     913.440us      76.120us           0 b           0 b           0 b           0 b            12  
                           onednn_addmm(640, 512, 2048)         0.13%       1.443ms         0.15%       1.704ms     142.036us     891.840us         2.99%     891.840us      74.320us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(512, 2048, 640)         0.11%       1.261ms         0.13%       1.479ms     123.291us     890.720us         2.98%     890.720us      74.227us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 2048, 512)         0.16%       1.862ms         0.19%       2.119ms     176.609us     887.840us         2.98%     887.840us      73.987us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 512, 2048)         0.12%       1.379ms         0.14%       1.626ms     135.498us     871.520us         2.92%     871.520us      72.627us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(2048, 512, 640)         0.11%       1.199ms         0.12%       1.405ms     117.068us     871.360us         2.92%     871.360us      72.613us           0 b           0 b           0 b           0 b            12  
                                aten::native_layer_norm         0.46%       5.206ms         0.60%       6.836ms     106.812us     808.960us         2.71%     808.960us      12.640us           0 b           0 b      49.34 Mb           0 b            64  
at::native::xpu::VectorizedLayerNormKernelFunctor<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     808.960us         2.71%     808.960us      12.640us           0 b           0 b           0 b           0 b            64  
                            onednn_addmm(640, 512, 512)         0.25%       2.875ms         0.30%       3.415ms     142.307us     752.640us         2.52%     752.640us      31.360us           0 b           0 b           0 b           0 b            24  
