inchi	smiles
InChI=1S/CH4/h1H4	C
InChI=1S/H3N/h1H3	N
InChI=1S/H2O/h1H2	O
InChI=1S/C2H2/c1-2/h1-2H	C#C
InChI=1S/CHN/c1-2/h1H	C#N
InChI=1S/CH2O/c1-2/h1H2	C=O
InChI=1S/C2H6/c1-2/h1-2H3	CC
InChI=1S/CH4O/c1-2/h2H,1H3	CO
InChI=1S/C3H4/c1-3-2/h1H,2H3	CC#C
InChI=1S/C2H3N/c1-2-3/h1H3	CC#N
InChI=1S/C2H4O/c1-2-3/h2H,1H3	CC=O
InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)	NC=O
InChI=1S/C3H8/c1-3-2/h3H2,1-2H3	CCC
InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	CCO
InChI=1S/C2H6O/c1-3-2/h1-2H3	COC
InChI=1S/C3H6/c1-2-3-1/h1-3H2	C1CC1
InChI=1S/C2H4O/c1-2-3-1/h1-2H2	C1CO1
InChI=1S/C3H6O/c1-3(2)4/h1-2H3	CC(C)=O
InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)	CC(N)=O
InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)	NC(N)=O
InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3	CC(C)C
InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3	CC(C)O
InChI=1S/C4H2/c1-3-4-2/h1-2H	C#CC#C
InChI=1S/C3HN/c1-2-3-4/h1H	C#CC#N
InChI=1S/C2N2/c3-1-2-4	N#CC#N
InChI=1S/C3H2O/c1-2-3-4/h1,3H	O=CC#C
InChI=1S/C2HNO/c3-1-2-4/h2H	O=CC#N
InChI=1S/C2H2O2/c3-1-2-4/h1-2H	O=CC=O
InChI=1S/C4H6/c1-3-4-2/h1-2H3	CC#CC
InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3	CCC#C
InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3	CCC#N
InChI=1S/C2H4N2/c3-1-2-4/h1,3H2	NCC#N
InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2	OCC#C
InChI=1S/C2H3NO/c3-1-2-4/h4H,2H2	OCC#N
InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3	CCC=O
InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)	CNC=O
InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3	COC=O
InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2	OCC=O
InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3	CCCC
InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3	CCCO
InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3	CCOC
InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2	OCCO
InChI=1S/C4H8/c1-4-2-3-4/h4H,2-3H2,1H3	CC1CC1
InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3	CC1CO1
InChI=1S/C3H7N/c1-4-2-3-4/h2-3H2,1H3	CN1CC1
InChI=1S/C3H6O/c4-3-1-2-3/h3-4H,1-2H2	OC1CC1
InChI=1S/C4H8/c1-2-4-3-1/h1-4H2	C1CCC1
InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2	C1COC1
InChI=1S/C3H7NO/c1-3(2)4-5/h5H,1-2H3	CC(C)=NO
InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	N1C=CC=C1
InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)	N1C=CN=C1
InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H	O1C=CC=C1
InChI=1S/C3H3NO/c1-2-5-3-4-1/h1-3H	O1C=CN=C1
InChI=1S/C5H12/c1-5(2,3)4/h1-4H3	CC(C)(C)C
InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3	CC(C)(C)O
InChI=1S/C4H4O/c1-3-4(2)5/h1H,2H3	CC(=O)C#C
InChI=1S/C3H3NO/c1-3(5)2-4/h1H3	CC(=O)C#N
InChI=1S/C3H3NO/c1-2-3(4)5/h1H,(H2,4,5)	NC(=O)C#C
InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3	CC(=O)C=O
InChI=1S/C2H3NO2/c3-2(5)1-4/h1H,(H2,3,5)	NC(=O)C=O
InChI=1S/C5H8/c1-4-5(2)3/h1,5H,2-3H3	CC(C)C#C
InChI=1S/C4H7N/c1-4(2)3-5/h4H,1-2H3	CC(C)C#N
InChI=1S/C3H6N2/c1-3(5)2-4/h3H,5H2,1H3	CC(N)C#N
InChI=1S/C4H6O/c1-3-4(2)5/h1,4-5H,2H3	CC(O)C#C
InChI=1S/C3H5NO/c1-3(5)2-4/h3,5H,1H3	CC(O)C#N
InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3	CC(C)C=O
InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3	CC(O)C=O
InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3	CN(C)C=O
InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3	CC(=O)CO
InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	CCC(C)=O
InChI=1S/C3H7NO/c1-2-3(4)5/h2H2,1H3,(H2,4,5)	CCC(N)=O
InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)	CNC(C)=O
InChI=1S/C2H6N2O/c1-4-2(3)5/h1H3,(H3,3,4,5)	CNC(N)=O
InChI=1S/C3H7NO/c1-3(4)5-2/h4H,1-2H3	COC(C)=N
InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3	COC(C)=O
InChI=1S/C2H5NO2/c1-5-2(3)4/h1H3,(H2,3,4)	COC(N)=O
InChI=1S/C2H5NO2/c3-2(5)1-4/h4H,1H2,(H2,3,5)	NC(=O)CO
InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3	CC(C)CO
InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3	CC(O)CO
InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3	CCC(C)C
InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3	CCC(C)O
InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3	COC(C)C
InChI=1S/C5H10/c1-5(2)3-4-5/h3-4H2,1-2H3	CC1(C)CC1
InChI=1S/C4H8O/c1-4(2)3-5-4/h3H2,1-2H3	CC1(C)CO1
InChI=1S/C4H8O/c1-4(5)2-3-4/h5H,2-3H2,1H3	CC1(O)CC1
InChI=1S/C3H5NO/c4-3-1-2-5-3/h4H,1-2H2	N=C1CCO1
InChI=1S/C4H6O/c5-4-2-1-3-4/h1-3H2	O=C1CCC1
InChI=1S/C3H5NO/c5-3-1-2-4-3/h1-2H2,(H,4,5)	O=C1CCN1
InChI=1S/C3H4O2/c4-3-1-2-5-3/h1-2H2	O=C1CCO1
InChI=1S/C3H5NO/c5-3-1-4-2-3/h4H,1-2H2	O=C1CNC1
InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2	O=C1COC1
InChI=1S/C5H10/c1-5-3-2-4-5/h5H,2-4H2,1H3	CC1CCC1
InChI=1S/C4H8O/c1-4-2-3-5-4/h4H,2-3H2,1H3	CC1CCO1
InChI=1S/C4H8O/c1-4-2-5-3-4/h4H,2-3H2,1H3	CC1COC1
InChI=1S/C4H8O/c5-4-2-1-3-4/h4-5H,1-3H2	OC1CCC1
InChI=1S/C3H6O2/c4-3-1-5-2-3/h3-4H,1-2H2	OC1COC1
InChI=1S/C5H10/c1-4-3-5(4)2/h4-5H,3H2,1-2H3	CC1CC1C
InChI=1S/C4H8O/c1-3-2-4(3)5/h3-5H,2H2,1H3	CC1CC1O
InChI=1S/C4H9N/c1-4-3-5(4)2/h4H,3H2,1-2H3	CC1CN1C
InChI=1S/C4H8O/c1-3-4(2)5-3/h3-4H,1-2H3	CC1OC1C
InChI=1S/C3H6O2/c4-2-1-3(2)5/h2-5H,1H2	OC1CC1O
InChI=1S/C5H8/c1-4-2-5(1)3-4/h4-5H,1-3H2	C1C2CC1C2
InChI=1S/C4H6O/c1-3-2-4(1)5-3/h3-4H,1-2H2	C1C2CC1O2
InChI=1S/C5H4/c1-3-5-4-2/h1-2H,5H2	C#CCC#C
InChI=1S/C4H3N/c1-2-3-4-5/h1H,3H2	C#CCC#N
InChI=1S/C3H2N2/c4-2-1-3-5/h1H2	N#CCC#N
InChI=1S/C4H4O/c1-2-3-4-5/h1,4H,3H2	O=CCC#C
InChI=1S/C3H3NO/c4-2-1-3-5/h3H,1H2	O=CCC#N
InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)	N=CNC=O
InChI=1S/C2H3NO2/c3-1-5-2-4/h1-3H	N=COC=O
InChI=1S/C2H3NO2/c4-1-3-2-5/h1-2H,(H,3,4,5)	O=CNC=O
InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3	CC#CC#C
InChI=1S/C4H3N/c1-2-3-4-5/h1H3	CC#CC#N
InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3	CC#CC=O
InChI=1S/C4H6O/c1-2-3-4-5/h5H,4H2,1H3	CC#CCO
InChI=1S/C5H8/c1-3-5-4-2/h3H2,1-2H3	CCC#CC
InChI=1S/C3H7NO/c1-4-3-5-2/h3H,1-2H3	COC=NC
InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3	CCCC#C
InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3	CCCC#N
InChI=1S/C3H6N2/c1-5-3-2-4/h5H,3H2,1H3	CNCC#N
